temporada_id;rodada_id;clube_mand_id;partida_id;clube_mand;clube_gol_pro;clube_gol_contra;clube_ca;clube_adv_ca;clube_cv;clube_adv_cv;clube_mand
2015;38;277;2015_38_277;Santos;5;1;0;1;0;0;1
2015;38;303;2015_38_303;Ponte Preta;0;1;4;2;0;0;1
2015;38;290;2015_38_290;Goiás;0;1;4;1;0;0;1
2015;38;264;2015_38_264;Corinthians;1;1;2;2;0;0;1
2015;38;282;2015_38_282;Atlético-MG;3;0;0;0;0;0;1
2015;38;317;2015_38_317;Joinville;0;2;3;1;0;0;1
2015;38;294;2015_38_294;Coritiba;0;0;1;0;0;1;1
2015;1;294;2015_1_294;Coritiba;1;2;2;2;0;0;0
2015;1;282;2015_1_282;Atlético-MG;2;2;4;2;0;0;0
2015;1;317;2015_1_317;Joinville;0;1;1;2;1;0;0
2015;1;303;2015_1_303;Ponte Preta;3;3;5;3;1;0;0
2015;1;285;2015_1_285;Internacional;0;3;2;1;0;0;0
2015;1;262;2015_1_262;Flamengo;1;2;1;2;0;0;0
2015;1;264;2015_1_264;Corinthians;1;0;1;3;0;0;0
2015;1;316;2015_1_316;Figueirense;1;4;3;1;1;0;0
2015;1;277;2015_1_277;Santos;1;1;2;2;1;0;0
2015;1;290;2015_1_290;Goiás;0;0;5;3;0;0;0
2015;2;293;2015_2_293;Athletico-PR;0;2;1;2;1;0;0
2015;2;284;2015_2_284;Grêmio;0;2;3;2;0;0;0
2015;2;315;2015_2_315;Chapecoense;0;1;4;2;0;0;0
